OTU	Blank	Elos05	Elos06	Elos07	Elos08	Elos09	Elos01	Elos10	Elos11	Elos12	Elos13	Elos02	Elos03	Elos04	Classification
Otu1829	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Roseibacillus
Otu1824	0	1	0	0	0	0	0	3	0	1	3	1	0	0	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2
Otu1825	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Main genome;Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;PRD18C08
Otu1826	0	1	0	0	0	0	0	6	0	1	7	0	0	0	Main genome;Bacteria
Otu1827	0	0	0	0	0	0	0	3	0	0	1	2	0	0	Main genome;Bacteria;Aerophobetes
Otu1820	0	2	0	0	0	0	1	3	0	3	5	6	0	0	Main genome;Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41
Otu1821	0	0	0	0	0	0	0	2	0	1	4	2	0	0	Main genome;Bacteria;Planctomycetes;Pla4 lineage
Otu1822	0	3	0	2	0	2	2	12	0	4	18	5	0	2	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae
Otu1823	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2
Otu985	0	0	0	0	0	0	0	7	0	0	0	0	0	0	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Pirellula
Otu984	0	0	0	0	0	0	0	22	0	0	8	0	0	0	Main genome;Bacteria
Otu987	0	0	0	0	0	0	0	16	0	0	0	0	0	0	Main genome;Bacteria;Bacteroidetes;Ignavibacteria;OPB56
Otu986	0	5	5	10	0	0	0	75	0	6	56	8	7	3	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
Otu981	0	0	0	0	0	0	0	21	0	16	0	0	0	0	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thiomicrospiraceae
Otu486	0	0	0	0	0	49	0	0	0	3	0	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus
Otu2328	0	0	0	0	0	0	0	0	0	0	0	2	0	0	Main genome;Bacteria;Chloroflexi;Anaerolineae;Thermoflexales;Thermoflexaceae;Thermoflexus
Otu2329	0	1	0	0	0	0	0	3	0	0	2	4	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;MSBL9;SM23-30
Otu2326	0	2	0	2	0	0	3	0	0	0	0	7	2	11	Main genome;Bacteria;Thermotogae;Thermotogae (kingdom);Petrotogales;Petrotogaceae;Geotoga
Otu2327	0	1	0	0	0	0	3	0	0	0	0	8	0	0	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Verruc-01
Otu2324	0	1	0	1	0	0	0	0	0	0	0	5	0	1	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu2325	0	5	1	0	0	0	2	1	0	0	1	10	0	6	Main genome;Archaea;Euryarchaeota
Otu2322	0	1	0	0	0	0	3	0	0	0	0	10	0	1	Main genome;Bacteria;Planctomycetes;Pla3 lineage
Otu2323	0	0	0	0	0	0	0	0	0	0	0	2	0	0	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae;Halorussus
Otu2320	0	1	0	0	0	0	0	1	0	0	1	3	0	0	Main genome;Bacteria;Lentisphaerae;Oligosphaeria;Oligosphaerales;Lenti-02
Otu2321	0	0	0	0	0	0	0	0	0	0	0	2	0	0	Main genome;Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium
Otu488	0	5	0	0	0	98	0	122	0	25	44	10	0	0	Main genome;Bacteria
Otu489	0	3	0	0	0	0	54	5	0	3	34	12	0	0	Main genome;Bacteria;Patescibacteria;ABY1
Otu1796	0	0	0	0	0	0	3	7	0	1	0	2	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu1797	0	0	0	0	0	0	0	2	0	0	5	0	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Urania-1B-19 marine sediment group
Otu1794	0	0	0	0	0	0	1	5	0	0	1	2	0	1	Main genome;Bacteria;Firmicutes;Clostridia;Clostridiales;Family XVII
Otu1795	0	0	0	0	0	0	0	8	0	0	17	0	0	0	Main genome;Bacteria
Otu1792	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Eel-36e1D6
Otu1793	0	0	0	0	0	0	0	8	0	0	5	0	0	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;Lewinella
Otu1790	0	2	0	0	0	0	0	5	0	7	0	0	0	0	Main genome;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae
Otu1791	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Main genome;Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halobacteroidaceae;Orenia
Otu1798	0	0	0	0	0	0	0	5	0	1	0	0	0	0	Main genome;Bacteria;Spirochaetes;Brachyspirae;Brachyspirales;Brachyspirales Incertae Sedis;Unknown Brachyspirales Incertae Sedis order 1
Otu1799	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus
Otu2223	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Main genome;Bacteria
Otu2222	0	0	0	0	0	0	0	6	0	2	7	8	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;MSBL9;SG8-4
Otu2221	0	0	3	0	0	0	1	9	0	0	19	0	3	0	Main genome;Bacteria
Otu2220	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Main genome;Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41
Otu2227	0	0	0	0	0	0	0	0	0	0	4	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu2226	0	0	0	0	0	1	0	0	0	0	3	1	0	0	Main genome;Bacteria;Omnitrophicaeota;Omnitrophia
Otu2225	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Main genome;Archaea;Euryarchaeota;Thermoplasmata;Marine Benthic Group D and DHVEG-1
Otu2224	0	0	0	0	0	0	0	0	0	0	12	0	0	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae
Otu2229	0	0	0	0	0	0	0	0	0	0	2	0	0	0	No hits
Otu2228	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu1644	0	0	0	0	0	0	0	2	0	0	2	0	0	0	Main genome;Bacteria;Spirochaetes;Leptospirae;Leptospirales;Leptospiraceae;RBG-16-49-21
Otu1645	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu1646	0	0	0	0	0	0	0	4	0	0	0	0	0	0	Main genome;Bacteria;Bacteroidetes;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;IheB3-7
Otu1647	0	0	0	0	0	0	0	4	0	0	0	0	0	0	Main genome;Archaea;Diapherotrites;Iainarchaeia;Unknown Iainarchaeia phylum 3
Otu1640	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu1641	0	0	0	0	0	0	0	4	0	0	0	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;P3OB-42
Otu1642	0	0	0	0	0	0	0	4	0	0	0	0	0	0	Main genome;Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41
Otu1643	0	0	0	0	0	0	0	4	0	0	0	0	0	0	Main genome;Bacteria;Patescibacteria;Microgenomatia
Otu2137	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Sva1033
Otu2136	0	0	0	0	0	0	0	0	0	2	0	0	0	0	No hits
Otu2135	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;MSBL9;4572-13
Otu2134	0	1	0	0	0	0	0	4	0	6	1	0	0	0	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2
Otu1648	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu2132	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Archaea;Hadesarchaeaeota
Otu2131	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae;Halovenus
Otu2130	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu1903	0	0	0	0	0	0	0	0	0	11	0	0	0	1	Main genome;Bacteria;Bacteroidetes;Rhodothermia;Balneolales;Balneolaceae;MAT-CR-P4-C12
Otu58	0	13	340	376	1	16	280	100	0	19	76	10	899	436	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2
Otu59	0	162	0	0	1	727	379	3	0	6	10	351	1	3	Main genome;Bacteria
Otu50	0	1	0	0	0	1	0	890	0	5	3	0	0	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;ML635J-40 aquatic group
Otu51	0	11	0	0	0	8	0	57	0	699	34	93	0	0	Main genome;Bacteria
Otu52	0	1752	0	0	2	90	302	246	0	419	820	1498	1	4	Main genome;Archaea;Euryarchaeota;Thermoplasmata;Marine Benthic Group D and DHVEG-1
Otu53	0	1177	5	13	0	0	216	0	0	0	0	851	74	614	Main genome;Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium
Otu54	0	0	0	0	0	641	0	0	0	0	0	0	0	0	Main genome;Bacteria;Chlamydiae;Chlamydiae (kingdom);Chlamydiales;Chlamydiaceae
Otu55	0	61	61	209	0	24	7	1444	0	44	684	139	96	21	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jhaorihella
Otu56	0	0	0	0	0	7	0	1	0	1560	0	0	0	0	Main genome;Bacteria;Acetothermia;Acetothermiia
Otu57	0	5	451	341	0	0	108	46	0	1	52	4	1005	95	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2
Otu1253	0	0	0	0	0	0	0	0	0	0	0	0	0	3	No hits
Otu1252	0	11	0	0	0	0	4	0	0	0	0	1	6	22	Main genome;Bacteria;Firmicutes;Clostridia;Clostridiales
Otu1251	0	2	0	0	0	0	4	0	0	1	0	0	2	17	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halomicrobiaceae;Halomicrobium
Otu1250	0	3	7	2	0	0	9	0	0	4	0	0	4	14	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae;Halobellus;Halobellus clavatus
Otu1257	0	2	0	0	0	0	0	0	0	0	0	0	0	0	Main genome;Bacteria;Patescibacteria;Microgenomatia
Otu1256	0	2	0	0	0	0	0	0	0	2	2	0	0	0	Main genome;Bacteria;Chloroflexi;Dehalococcoidia;GIF3
Otu1255	0	0	0	0	0	0	1	0	0	0	0	1	0	7	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae;Halobellus
Otu1254	2	0	1	0	0	0	0	0	0	0	0	0	0	10	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas
Otu1259	0	5	0	0	0	0	0	0	0	0	8	0	0	0	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae;Methylacidiphilales;Methylacidiphilaceae
Otu1258	0	27	0	0	0	3	2	1	0	1	3	20	0	0	Main genome;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae
Otu1495	0	0	0	4	0	0	3	8	0	0	0	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sandaracinaceae
Otu1494	0	0	0	0	0	0	2	3	0	0	0	1	0	0	Main genome;Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium
Otu1497	0	1	0	0	0	0	8	8	0	0	0	1	0	3	Main genome;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium
Otu1496	0	1	0	0	0	0	2	0	0	1	0	0	0	0	Main genome;Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium
Otu1491	0	0	0	0	0	0	2	0	0	0	0	0	0	0	Main genome;Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales
Otu1490	0	0	1	0	0	0	2	0	0	0	0	1	0	0	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2
Otu1493	0	0	0	0	0	0	2	0	0	0	0	0	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;MSBL9;SG8-4
Otu1492	0	1	0	0	0	1	22	10	0	0	3	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu1499	0	0	0	0	0	0	2	0	0	0	0	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacter
Otu1498	0	0	0	0	0	1	2	5	0	0	2	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu963	0	0	0	0	0	0	1	12	0	0	35	0	0	0	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Sediminispirochaeta
Otu348	0	0	0	6	0	0	0	180	0	1	5	0	6	1	Main genome;Bacteria;Bacteroidetes;Rhodothermia;Balneolales;Balneolaceae
Otu439	0	0	0	0	0	0	0	103	0	0	98	0	0	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae
Otu438	0	9	0	0	0	2	0	50	0	0	93	22	0	0	Main genome;Bacteria;Chlamydiae;LD1-PA32
Otu962	0	0	0	0	0	0	0	14	0	0	4	0	0	0	Main genome;Bacteria
Otu435	0	1	0	0	0	0	0	5	0	146	0	12	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus
Otu434	0	77	1	3	0	0	17	18	0	68	0	24	0	47	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae;Haloarchaeobius
Otu437	0	30	0	0	0	0	2	45	0	0	134	46	0	0	Main genome;Bacteria;Atribacteria;JS1
Otu436	0	0	0	0	0	20	0	0	0	80	0	0	0	0	Main genome;Bacteria;Patescibacteria;ABY1
Otu347	0	36	0	1	0	19	52	210	0	159	41	62	0	5	Main genome;Bacteria;Bacteroidetes;Bacteroidia
Otu961	0	0	0	7	0	0	0	28	0	0	36	0	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02
Otu346	0	8	0	28	0	0	7	183	0	2	148	32	5	5	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;Phaeodactylibacter
Otu433	0	14	0	0	0	38	0	15	0	232	3	15	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae
Otu432	0	7	0	0	0	0	0	48	0	105	49	34	0	2	Main genome;Bacteria
Otu960	0	1	0	0	0	0	0	14	0	0	15	9	0	0	Main genome;Archaea;Euryarchaeota;Thermococci;Methanofastidiosales
Otu512	0	0	0	10	0	0	0	66	0	0	35	0	0	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae
Otu513	0	1	25	31	0	0	3	87	0	5	33	14	86	0	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Dichotomicrobium
Otu510	0	13	0	0	0	0	2	107	0	59	39	9	0	1	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;ST-12K33
Otu511	0	15	0	0	0	4	10	24	0	13	21	21	0	1	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;AKAU3564 sediment group
Otu516	0	0	0	0	0	0	0	50	0	0	3	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sandaracinaceae
Otu517	0	8	0	10	0	4	2	52	0	30	59	6	0	0	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2
Otu514	0	3	2	4	0	0	0	248	0	7	120	2	8	2	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tropicimonas
Otu515	0	2	0	2	0	0	2	93	0	1	5	0	4	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales
Otu518	0	0	3	15	0	0	5	58	0	8	14	4	13	7	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
Otu519	0	0	0	0	0	0	0	6	0	0	13	0	0	0	No hits
Otu1079	0	1	3	2	0	18	1	48	0	41	43	1	1	1	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
Otu1078	0	5	0	0	0	0	2	0	0	52	0	24	0	0	Main genome;Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium
Otu1073	0	0	0	0	0	0	0	0	0	36	0	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Bradymonadales
Otu1072	0	0	0	0	0	0	0	0	0	21	0	0	0	0	Main genome;Bacteria;Patescibacteria;ABY1
Otu1071	0	0	0	0	0	0	0	0	0	19	0	0	0	0	Main genome;Bacteria
Otu1070	0	0	0	0	0	0	0	0	0	3	0	0	0	0	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Sediminispirochaeta
Otu1077	0	0	0	0	0	0	0	0	0	25	0	0	0	0	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halomicrobiaceae;Halomicrobium
Otu1076	0	1	0	0	0	0	0	0	0	27	0	0	0	0	Main genome;Bacteria;Latescibacteria;Latescibacteria (kingdom);Latescibacterales;Latescibacteraceae
Otu1075	0	0	0	0	0	0	0	0	0	3	0	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio
Otu1074	0	0	0	0	0	0	0	12	0	47	0	4	0	0	Main genome;Archaea;Asgardaeota;Lokiarchaeia
Otu228	0	5	0	0	0	0	19	11	0	0	218	9	0	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae
Otu229	0	59	0	0	0	2	1	111	0	68	202	85	0	0	Main genome;Bacteria;Planctomycetes;Brocadiae;SM23-32
Otu738	0	29	0	0	0	0	1	3	0	140	1	84	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Bradymonadales;Bradymonadaceae
Otu739	0	0	0	0	0	5	0	0	0	62	0	0	0	0	Main genome;Bacteria
Otu220	0	87	0	0	0	148	64	21	0	165	194	104	0	3	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae
Otu221	0	18	0	0	0	110	2	5	0	306	0	31	0	0	Main genome;Archaea;Euryarchaeota;Thermoplasmata
Otu222	0	32	0	0	0	65	1	140	0	190	69	102	0	1	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;VHS-B3-70
Otu223	0	4	0	0	0	7	1	4	0	214	0	18	0	3	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halomicrobiaceae;Natronomonas
Otu224	0	87	0	0	0	8	5	38	0	197	30	58	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;AKAU3564 sediment group
Otu225	0	130	0	0	0	32	95	51	0	257	9	174	0	62	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae
Otu226	0	113	0	0	0	23	0	110	0	108	234	66	0	2	Main genome;Bacteria
Otu227	0	152	1	5	0	105	144	172	0	200	328	231	3	12	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus
Otu938	0	0	0	0	0	0	0	28	0	0	1	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu965	0	2	0	1	0	0	3	21	0	0	15	7	0	0	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
Otu939	0	0	0	2	0	0	3	36	0	0	11	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu1107	0	1	0	0	0	0	0	3	0	6	0	3	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;AKAU3564 sediment group
Otu1106	0	0	0	0	0	0	0	0	0	11	0	0	0	0	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2
Otu1105	0	0	0	0	0	1	0	0	0	20	0	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;MSBL7
Otu1104	0	4	0	0	0	0	3	5	0	19	8	13	0	1	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halanaeroarchaeum
Otu1103	0	0	0	0	0	0	0	0	0	20	0	0	0	0	Main genome;Bacteria;Gemmatimonadetes;PAUC43f marine benthic group
Otu1102	0	0	0	0	0	0	0	0	0	14	0	0	0	0	Main genome;Bacteria
Otu1101	0	0	0	0	0	0	0	0	0	11	0	0	0	0	Main genome;Bacteria;WS2
Otu1100	0	0	0	0	0	0	0	0	0	8	0	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Nanohaloarchaeia;Nanohaloarchaeales;Nanohaloarchaeaceae
Otu354	0	37	0	0	0	17	0	129	0	23	50	34	0	1	Main genome;Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41
Otu355	0	53	2	7	0	41	168	246	0	17	114	252	1	49	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Sediminispirochaeta
Otu356	0	0	0	0	0	0	0	44	0	0	18	2	0	0	Main genome;Bacteria;Patescibacteria;ABY1
Otu357	0	1	0	0	0	0	0	95	0	11	122	36	0	1	Main genome;Bacteria;Acidobacteria
Otu350	0	0	0	0	0	0	0	213	0	0	12	1	0	0	Main genome;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineaceae UCG-001
Otu351	0	0	0	0	0	0	1	69	0	0	21	1	0	0	Main genome;Bacteria;Tenericutes;Mollicutes;Izimaplasmatales;Izimaplasmataceae
Otu1109	0	0	0	0	0	0	0	0	0	7	0	0	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae
Otu1108	0	1	0	0	0	4	1	0	0	34	0	0	0	4	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae
Otu646	0	14	31	65	0	11	72	56	0	39	19	4	30	16	Main genome;Bacteria;Bacteroidetes;Rhodothermia;Balneolales;Balneolaceae
Otu647	0	37	4	14	0	0	61	0	0	0	0	17	21	93	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae;Halobaculum
Otu644	0	2	3	29	0	0	18	43	0	18	13	4	17	4	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2
Otu645	0	11	5	0	0	0	25	0	0	4	0	2	8	54	Main genome;Archaea;Nanoarchaeaeota;Nanohaloarchaeia;Nanohaloarchaeales;Nanohaloarchaeaceae
Otu642	0	5	0	0	0	2	35	1	0	0	1	11	0	1	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae
Otu643	0	1	0	0	0	0	26	6	0	0	4	2	0	0	Main genome;Bacteria;Spirochaetes;Spirochaetia;Brevinematales;Brevinemataceae;Brevinema
Otu640	20	0	0	0	0	0	0	0	0	0	0	0	0	0	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae
Otu641	0	33	2	0	0	0	88	3	0	3	3	18	22	41	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacteraceae;Marinobacter
Otu648	0	10	8	4	0	0	21	0	0	3	0	0	0	44	Main genome;Archaea;Nanoarchaeaeota;Nanohaloarchaeia;Nanohaloarchaeales;Nanohaloarchaeaceae
Otu649	0	6	0	0	0	0	34	7	0	0	10	4	0	0	Main genome;Bacteria;Lentisphaerae;Oligosphaeria;Oligosphaerales;Lenti-02
Otu889	0	0	0	0	0	12	0	0	0	1	0	0	0	0	Main genome;Bacteria;Patescibacteria;WWE3
Otu2681	0	0	0	0	0	0	0	0	0	1	1	0	0	0	Main genome;Bacteria;Spirochaetes;Leptospirae;Leptospirales;Leptospiraceae;RBG-16-49-21
Otu2680	0	0	0	0	0	0	0	0	0	1	1	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu2683	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae
Otu2682	0	0	0	0	0	0	0	0	0	3	0	3	0	0	Main genome;Archaea;Diapherotrites;Iainarchaeia;Iainarchaeales
Otu2685	0	0	0	0	0	0	0	0	0	2	2	0	0	0	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2
Otu2684	0	0	0	0	0	0	0	0	0	1	1	0	0	0	Main genome;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae
Otu2687	0	0	0	0	0	0	0	0	0	2	0	8	0	1	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax
Otu2686	0	0	0	0	0	0	0	0	0	2	0	0	0	2	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae
Otu2689	0	0	0	0	0	0	0	0	0	1	0	1	0	0	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Pir4 lineage
Otu2688	0	0	0	0	0	0	0	0	0	1	1	0	0	0	Main genome;Bacteria;Planctomycetes;Pla4 lineage
Otu935	0	0	0	0	0	0	0	19	0	0	6	0	0	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;Phaeodactylibacter
Otu1819	0	0	0	0	0	0	0	2	0	2	0	0	0	0	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae
Otu1818	0	0	0	0	0	0	0	3	0	0	0	1	0	0	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Pir4 lineage
